Algorithm,Sample,Result,Time,Seed
GENETICALGORITHM,10,40.52957416393586,0.5029871463775635,6
MEMETICALGORITHM,10,40.626602482269064,1.102569818496704,6
MEMETICALGORITHMHYBRIDLOCALSEARCH,10,40.626602482269064,17.832529544830322,6
EVOLUTIONSTRATEGY,10,39.331160407977684,0.09188628196716309,6
DIFFERENTIALEVOLUTION,10,40.626602482269064,0.41160106658935547,6
BASE,10,40.626602482269064,0.037430763244628906,7
GENETICALGORITHM,10,40.626602482269064,0.5176093578338623,7
MEMETICALGORITHM,10,40.626602482269064,1.0865490436553955,7
MEMETICALGORITHMHYBRIDLOCALSEARCH,10,40.626602482269064,17.529431104660034,7
EVOLUTIONSTRATEGY,10,40.52957416393586,0.09290027618408203,7
DIFFERENTIALEVOLUTION,10,40.626602482269064,0.4021792411804199,7
BASE,10,40.626602482269064,0.03144550323486328,8
GENETICALGORITHM,10,38.881427550703364,0.460939884185791,8
MEMETICALGORITHM,10,40.626602482269064,1.0942161083221436,8
MEMETICALGORITHMHYBRIDLOCALSEARCH,10,40.626602482269064,17.92514204978943,8
EVOLUTIONSTRATEGY,10,38.78439923237015,0.08692812919616699,8
DIFFERENTIALEVOLUTION,10,40.626602482269064,0.40371251106262207,8
BASE,10,40.626602482269064,0.034539222717285156,9
GENETICALGORITHM,10,40.626602482269064,0.5285828113555908,9
MEMETICALGORITHM,10,40.626602482269064,1.079925775527954,9
MEMETICALGORITHMHYBRIDLOCALSEARCH,10,40.626602482269064,18.503247261047363,9
EVOLUTIONSTRATEGY,10,40.17471240321547,0.08629369735717773,9
DIFFERENTIALEVOLUTION,10,40.626602482269064,0.48925304412841797,9
BASE,10,40.626602482269064,0.033104658126831055,10
GENETICALGORITHM,10,40.626602482269064,0.4156150817871094,10
MEMETICALGORITHM,10,40.626602482269064,1.37908935546875,10
MEMETICALGORITHMHYBRIDLOCALSEARCH,10,40.626602482269064,17.593894004821777,10
EVOLUTIONSTRATEGY,10,40.17471240321547,0.08657145500183105,10
DIFFERENTIALEVOLUTION,10,40.626602482269064,0.4754323959350586,10
BASE,10,40.626602482269064,0.032813310623168945,11
GENETICALGORITHM,10,40.52957416393586,0.4022786617279053,11
MEMETICALGORITHM,10,40.626602482269064,1.1062209606170654,11
MEMETICALGORITHMHYBRIDLOCALSEARCH,10,40.626602482269064,18.57433581352234,11
EVOLUTIONSTRATEGY,10,38.858711412669265,0.09182953834533691,11
DIFFERENTIALEVOLUTION,10,40.626602482269064,0.39911413192749023,11
BASE,10,40.626602482269064,0.03580641746520996,12
GENETICALGORITHM,10,40.52957416393586,0.4046308994293213,12
MEMETICALGORITHM,10,40.626602482269064,1.139613151550293,12
MEMETICALGORITHMHYBRIDLOCALSEARCH,10,40.626602482269064,16.88151788711548,12
EVOLUTIONSTRATEGY,10,40.100400222916356,0.0892789363861084,12
DIFFERENTIALEVOLUTION,10,40.626602482269064,0.407451868057251,12
BASE,10,40.626602482269064,0.032971858978271484,13
GENETICALGORITHM,10,39.31060149172286,0.41853785514831543,13
MEMETICALGORITHM,10,40.626602482269064,1.0859179496765137,13
MEMETICALGORITHMHYBRIDLOCALSEARCH,10,40.626602482269064,18.763472080230713,13
EVOLUTIONSTRATEGY,10,38.42953747164976,0.09228730201721191,13
DIFFERENTIALEVOLUTION,10,40.626602482269064,0.40865325927734375,13
BASE,10,40.626602482269064,0.033519744873046875,14
GENETICALGORITHM,10,40.626602482269064,0.40839600563049316,14
MEMETICALGORITHM,10,40.626602482269064,1.1393911838531494,14
MEMETICALGORITHMHYBRIDLOCALSEARCH,10,40.626602482269064,17.22014307975769,14
EVOLUTIONSTRATEGY,10,40.100400222916356,0.07982611656188965,14
DIFFERENTIALEVOLUTION,10,40.626602482269064,0.36405110359191895,14
BASE,10,40.626602482269064,0.031142234802246094,15
GENETICALGORITHM,10,40.17471240321547,0.46851468086242676,15
MEMETICALGORITHM,10,40.52957416393586,0.9973850250244141,15
MEMETICALGORITHMHYBRIDLOCALSEARCH,10,40.626602482269064,16.256741523742676,15
EVOLUTIONSTRATEGY,10,38.78439923237015,0.08749628067016602,15
DIFFERENTIALEVOLUTION,10,40.626602482269064,0.38986802101135254,15
BASE,10,40.626602482269064,0.03139233589172363,16
GENETICALGORITHM,10,40.626602482269064,0.4084188938140869,16
MEMETICALGORITHM,10,40.626602482269064,1.1879901885986328,16
MEMETICALGORITHMHYBRIDLOCALSEARCH,10,40.626602482269064,16.447932481765747,16
EVOLUTIONSTRATEGY,10,38.955739731002474,0.0978085994720459,16
DIFFERENTIALEVOLUTION,10,40.626602482269064,0.42392563819885254,16
BASE,10,40.626602482269064,0.035125732421875,17
GENETICALGORITHM,10,40.52957416393586,0.45218682289123535,17
MEMETICALGORITHM,10,40.626602482269064,1.1771478652954102,17
MEMETICALGORITHMHYBRIDLOCALSEARCH,10,40.626602482269064,18.260764360427856,17
EVOLUTIONSTRATEGY,10,39.331160407977684,0.09332728385925293,17
DIFFERENTIALEVOLUTION,10,40.626602482269064,0.4262261390686035,17
BASE,10,40.626602482269064,0.0357661247253418,18
GENETICALGORITHM,10,40.626602482269064,0.4223768711090088,18
MEMETICALGORITHM,10,40.52957416393586,1.238243579864502,18
MEMETICALGORITHMHYBRIDLOCALSEARCH,10,40.626602482269064,18.273404359817505,18
